timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,23,2,12,8,0,622,346
2023-07-02,23,2,12,8,0,624,348
2023-07-03,23,2,12,8,0,624,348
2023-07-04,23,2,12,8,0,622,346
2023-07-05,23,2,12,8,0,624,348
2023-07-06,23,2,12,8,0,647,360
2023-07-07,23,2,12,8,0,647,361
2023-07-08,23,2,12,8,0,647,363
2023-07-09,23,2,12,8,0,647,360
2023-07-10,23,2,12,8,0,624,348
2023-07-11,23,2,12,8,0,624,355
2023-07-12,23,2,12,8,0,624,355
2023-07-13,23,2,12,8,0,622,353
2023-07-14,23,2,12,8,0,624,349
2023-07-15,23,2,12,8,0,647,360
2023-07-16,23,2,12,8,0,645,358
2023-07-17,23,2,12,8,0,647,360
2023-07-18,23,2,12,8,0,647,360
2023-07-19,23,2,12,8,0,647,360
2023-07-20,23,2,12,8,0,647,362
2023-07-21,23,2,12,8,0,647,367
2023-07-22,23,2,12,8,0,647,361
2023-07-23,23,2,12,8,0,647,361
2023-07-24,23,2,12,8,0,647,361
2023-07-25,23,2,12,8,0,647,361
2023-07-26,23,2,12,8,0,647,361
2023-07-27,23,2,12,8,0,647,361
2023-07-28,23,2,12,8,0,647,361
2023-07-29,23,2,12,8,0,647,360
2023-07-30,23,2,12,8,0,647,360
2023-07-31,23,2,12,8,0,646,360
2023-08-01,23,2,12,8,0,624,348
2023-08-02,23,2,12,8,0,647,360
2023-08-03,23,2,12,8,0,647,360
2023-08-04,23,2,13,8,0,647,1093
2023-08-05,23,2,13,8,0,647,1093
2023-08-06,23,2,13,8,0,647,1094
2023-08-07,23,2,13,8,0,647,1094
2023-08-08,23,2,13,8,0,647,1122
2023-08-09,23,2,13,8,0,647,1094
2023-08-10,23,2,13,8,0,647,1094
2023-08-11,23,2,13,8,0,647,1094
2023-08-12,23,2,13,8,0,647,1094
2023-08-13,23,2,13,8,0,647,1094
2023-08-14,23,2,13,8,0,647,1094
2023-08-15,23,2,13,8,0,647,1094
2023-08-16,23,2,13,8,0,647,1098
2023-08-17,23,2,13,8,0,647,1094
2023-08-18,23,2,13,8,0,647,1094
2023-08-19,23,2,13,8,0,622,897
2023-08-20,23,2,13,8,0,624,894
2023-08-21,23,2,13,8,0,647,1093
2023-08-22,23,2,13,8,0,647,1093
2023-08-23,23,2,14,8,0,647,1117
2023-08-24,23,2,14,8,0,647,1117
2023-08-25,23,2,14,8,0,645,1115
2023-08-26,23,2,14,8,0,647,1117
2023-08-27,23,2,14,8,0,647,1120
2023-08-28,23,2,14,8,0,647,1117
2023-08-29,23,2,14,8,0,645,1115
2023-08-30,23,2,14,8,0,645,1115
2023-08-31,23,2,12,7,0,623,381
2023-09-01,23,2,12,7,0,623,381
2023-09-02,23,2,12,7,0,623,381
2023-09-03,23,2,12,7,0,623,381
2023-09-04,23,2,12,7,0,623,381
2023-09-05,23,2,12,7,0,623,381
2023-09-06,23,2,12,7,0,624,381
2023-09-07,23,2,12,7,0,624,381
2023-09-08,23,2,12,7,0,623,381
2023-09-09,23,2,12,7,0,624,381
2023-09-10,23,2,12,7,0,624,381
2023-09-11,23,2,12,7,0,624,381
2023-09-12,23,2,12,7,0,623,381
2023-09-13,23,2,12,7,0,623,382
2023-09-14,23,2,12,7,0,622,381
2023-09-15,23,2,12,7,0,623,381
2023-09-16,23,2,12,7,0,623,381
2023-09-17,23,2,12,7,0,624,381
2023-09-18,23,2,12,7,0,624,381
2023-09-19,23,2,12,7,0,622,379
2023-09-20,23,2,12,7,0,622,379
2023-09-21,23,2,12,7,0,622,379
2023-09-22,23,2,12,7,0,624,381
2023-09-23,23,2,12,7,0,624,381
2023-09-24,23,2,12,7,0,624,381
2023-09-25,23,2,12,7,0,623,381
2023-09-26,23,2,12,7,0,623,380
2023-09-27,23,2,12,7,0,623,380
2023-09-28,23,2,12,7,0,595,362
2023-09-29,23,2,11,7,0,575,354
2023-09-30,23,2,11,7,0,577,356
2023-10-01,23,2,11,7,0,577,356
2023-10-02,23,2,11,7,0,577,356
2023-10-03,23,2,11,7,0,577,356
2023-10-04,23,2,11,7,0,577,356
2023-10-05,23,2,12,7,0,646,343
2023-10-06,23,2,12,7,0,621,378
2023-10-07,23,2,12,7,0,600,367
2023-10-08,23,2,12,7,0,646,393
2023-10-09,23,2,12,7,0,645,393
2023-10-10,23,2,12,7,0,647,393
2023-10-11,23,2,12,6,0,624,388
2023-10-12,23,2,12,6,0,646,392
2023-10-13,23,2,12,7,0,647,393
2023-10-14,23,2,12,7,0,647,393
2023-10-15,23,2,12,7,0,647,393
2023-10-16,23,2,12,7,0,647,393
2023-10-17,23,2,12,7,0,647,394
2023-10-18,23,2,12,7,0,647,394
2023-10-19,23,2,12,7,0,645,392
2023-10-20,23,2,12,7,0,643,382
2023-10-21,23,2,12,7,0,645,392
2023-10-22,23,2,12,7,0,645,392
2023-10-23,23,2,12,7,0,622,379
2023-10-24,23,2,12,7,0,645,393
2023-10-25,20,2,12,7,0,564,391
2023-10-26,20,2,12,7,0,564,391
2023-10-27,20,2,12,7,0,564,391
2023-10-28,20,2,12,7,0,564,391
2023-10-29,20,2,12,7,0,564,391
2023-10-30,20,2,12,7,0,564,390
2023-10-31,20,2,12,7,0,564,390
